Nmarché;SIRETMandataire;LibelleEntiteMandataire;SIRETAcheteur;LibelleAcheteur;Nature;Objet;CodeCPV;Type ;Procedure;CodePostalCommuneExecution;NomCommuneExecution;CodeINSEEExecution;GranulariteINSEEExecution;MillesimeMandatement;DateNotification;Montant mandate TTC;Montant mandate HT;Montant attribue TTC;Montant attribue HT;Date de cloture;Duree;SIRETContractant;DenominationSociale;Role;CodePostal;Dpt ID ;Département;Commune;Taille;Taille des entreprises par categorie officielle;Code NAF;Libelle NAF;Libelle SBA;Libelle CCI;geolocalisation
2013-90138;;Région Bretagne;;;;OP115046 -  ÉTUDE D'APPROVISIONNEMENT ÉNERGETIQUE POUR LE LYCÉE BRIZEUX  A QUIMPER;;Services;MAPA - art 28;;;;;2013;2013-04-03;9538;;9538;;;;422118810;BUYS ENERGIE ENVIRONNEMENT;Titulaire;56370;56;Morbihan;SARZEAU;0;Sans salarié;7112;ACTIVITÉS SPÉCIALISÉES, SCIENTIFIQUES ET TECHNIQUES;Etudes, conseil;Tertiaire marchand;47.524503914, -2.74138748812
2013-90119;;Région Bretagne;;;;Marché subséquent - Assistance et conseil à l'élaboration et à la passation d'un contrat de DSP - port de pêche de Brest;;Services;MAPA - art 28;;;;;2013;2013-03-25;0;;117419;;;;323069484;FINANCE CONSULT;Sous-traitant;75009;75;Hors Bretagne;PARIS;20 à 49;PME;7022;ACTIVITÉS SPÉCIALISÉES, SCIENTIFIQUES ET TECHNIQUES;Etudes, conseil;Tertiaire marchand;48.8769274899, 2.33736632955
2013-90172;;Région Bretagne;;;;Analyse de la structure pédagogique (optimisation du planning d'utilisation des salles);;Services;MAPA - art 28;;;;;2013;2013-07-05;46198;;46198;;;;349259622;APRITEC;Mandataire;44600;44;Hors Bretagne;ST NAZAIRE;1 ou 2;Microentreprise;7112;ACTIVITÉS SPÉCIALISÉES, SCIENTIFIQUES ET TECHNIQUES;Etudes, conseil;Tertiaire marchand;47.2802195147, -2.2511094831
2013-90314;;Région Bretagne;;;;Transfert et déplacement de matériel de cuisine zone self;;Services;MAPA - art 28;;;;;2013;2013-07-24;14982;;14982;;;;398254375;EUROCONFORT JDGIF;Titulaire;35510;35;Ille-et-Vilaine;CESSON SEVIGNE;20 à 49;PME;3320;INDUSTRIE MANUFACTURIÈRE;Industries;Industries;48.1206278296, -1.59690492956
2013-90227;;Région Bretagne;;;;PRS 2013-2014-lot n° 10-Technico-commercial-e de l’industrie et des services nautiques;;Services;Appel d'offres;;;;;2013;2013-06-08;0;;212182;;;;448793125;BRETAGNE YACHTING;Sous-traitant;56100;56;Morbihan;LORIENT;1 ou 2;Microentreprise;4614;"COMMERCE ; RÉPARATION D'AUTOMOBILES ET DE MOTOCYCLES";Industries;Industries;47.7501619572, -3.37871159231
2013-90392;;Région Bretagne;;;;Marché subséquent à l'accord cadre Objets promotionnels Lot 2 Habillement-bagagerie N° 2013-90248;;Fournitures;MAPA - art 28;;;;;2013;2013-08-22;1090;;1090;;;;750477663;OBG PUBLICITAIRE;Titulaire;78360;78;Hors Bretagne;MONTESSON;Non disponible;Non disponible;4649;"COMMERCE ; RÉPARATION D'AUTOMOBILES ET DE MOTOCYCLES";Industries;Industries;48.9173237175, 2.13949842115
2013-90343;;Région Bretagne;;;;Développement du port de Brest - Etude de faisabilité et ordonnancement des interventions travaux;;Services;MAPA - art 28;;;;;2013;2013-05-09;0;;12515;;;;444523526;ARTELIA VILLE ET TRANSPORT;Co-traitant;38130;38;Hors Bretagne;ECHIROLLES;500 à 999;ETI;7112;ACTIVITÉS SPÉCIALISÉES, SCIENTIFIQUES ET TECHNIQUES;Etudes, conseil;Tertiaire marchand;45.1470306485, 5.71547524245
2013-90411;;Région Bretagne;;;;Rénovation du service de restauration en vue de l'accueil des effectifs sur le bassin rennais;;Services;MAPA - art 28;;;;;2013;2013-09-14;0;;28849;;;;790549182;ACOUSTIQUE ET ENVIRONNEMENT;Co-traitant;56000;56;Morbihan;VANNES;Non disponible;Non disponible;7112;ACTIVITÉS SPÉCIALISÉES, SCIENTIFIQUES ET TECHNIQUES;Etudes, conseil;Tertiaire marchand;47.6598173381, -2.75698478615
2013-90380;;Région Bretagne;;;;OBJETS PROMOS : ACQUISITION  DE 30 000 LANYARDS;;Fournitures;MAPA - art 28;;;;;2013;2013-09-23;10261;;10261;;;;333883924;LOGOPROM;Titulaire;95103;95;Hors Bretagne;ARGENTEUIL CEDEX;10 à 19;PME;4649;"COMMERCE ; RÉPARATION D'AUTOMOBILES ET DE MOTOCYCLES";Industries;Industries;
2013-90401;;Région Bretagne;;;;IMPRESSION LOT 1 : GUIDES DRIP, PRS ET PBF;;Services;MAPA - art 28;;;;;2013;2013-03-10;5645;;5645;;;;320281447;MEDIA GRAPHIC IMPRIMERIE;Titulaire;35000;35;Ille-et-Vilaine;RENNES;Non disponible;Non disponible;1812;INDUSTRIE MANUFACTURIÈRE;Industries;Industries;48.1116364246, -1.6816378334
2013-90282;;Région Bretagne;;;;OBJETS PROMOS : LOT 1 SETS D'ECRITURE;;Fournitures;MAPA - art 28;;;;;2013;2013-11-07;38283;;38283;;;;423734169;LA CABANE BLEUE;Titulaire;29360;29;Finistère;CLOHARS CARNOET;1 ou 2;Microentreprise;7311;ACTIVITÉS SPÉCIALISÉES, SCIENTIFIQUES ET TECHNIQUES;Etudes, conseil;Tertiaire marchand;47.7942669936, -3.56719689292
2013-90326;;Région Bretagne;;;;IMPRESSION LOT 1 : IMPRESSION DE 4 SERIES DE 5 POSTERS ET D'1 SERIE DE 5 CARTES POSTALES;;Services;MAPA - art 28;;;;;2013;2013-12-07;4465;;4465;;;;589104686;LE COLIBRI IMPRIMEUR;Titulaire;35510;35;Ille-et-Vilaine;CESSON SEVIGNE;10 à 19;PME;1812;INDUSTRIE MANUFACTURIÈRE;Industries;Industries;48.1206278296, -1.59690492956
2013-90290;;Région Bretagne;;;;Etude sur le maillage du territoire breton en bornes de recharge pour véhicule électrique;;Services;MAPA - art 28;;;;;2013;2013-07-17;45806;;45806;;;;Non disponible;AWARENESS;Titulaire;99999;99;Hors Bretagne;BRUXELLES;Non disponible;Non disponible;7022;ACTIVITÉS SPÉCIALISÉES, SCIENTIFIQUES ET TECHNIQUES;Etudes, conseil;Tertiaire marchand;
2013-90227;;Région Bretagne;;;;PRS 2013-2014-lot n° 10-Technico-commercial-e de l’industrie et des services nautiques;;Services;Appel d'offres;;;;;2013;2013-06-08;0;;212182;;;;410597827;LE GOFF HERVE  ECM;Sous-traitant;29170;29;Finistère;FOUESNANT;0;Sans salarié;7320;ACTIVITÉS SPÉCIALISÉES, SCIENTIFIQUES ET TECHNIQUES;Etudes, conseil;Tertiaire marchand;47.912618887, -4.02039306441
2013-90271;;Région Bretagne;;;;PRS 2013-2014 Lot n°6 Responsable d'animation (chef-fe de village / Responsable loisirs);;Services;Appel d'offres;;;;;2013;2013-06-08;0;;160247;;;;343945663;COMITE DE BRETAGNE EPMM;Sous-traitant;29480;29;Finistère;LE RELECQ KERHUON;3 à 5 salariés;Microentreprise;9312;ARTS, SPECTACLES ET ACTIVITÉS RÉCRÉATIVES;Arts, spectacles et activités récréatives;Tertiaire non marchand;48.4030607499, -4.40121515046
2013-90356;;Région Bretagne;;;;Maintenance des portes, portails et barrières automatiques de la Région Bretagne - lot 2 (dpts 22-56-29);;Services;MAPA - art 28;;;;;2013;2013-12-09;8170;;8170;;;;450160122;AF MAINTENANCE;Titulaire;14790;14;Hors Bretagne;MOUEN;20 à 49;PME;4332;CONSTRUCTION;Construction;Construction;49.1541386997, -0.466148094743
2013-90352;;Région Bretagne;;;;Port de Lorient - Rive Gauche du Scorff - Gestion des réseaux 2013-2015 - Lot n°1 Alimentation en eau potable, asssinissement EU & EP;;Services;MAPA - art 28;;;;;2013;2013-09-23;3003;;3003;;;;572025526;VEOLIA EAU CIE GEN DES EAUX;Titulaire;35020;35;Ille-et-Vilaine;Non disponible;5 000 à 9 999;Grande entreprise;3600;"PRODUCTION ET DISTRIBUTION D'EAU ; ASSAINISSEMENT, GESTION DES DÉCHETS ET DÉPOLLUTION";Eau, énergie/ gestion des déchets;Tertiaire marchand;
2013-90436;;Région Bretagne;;;;Fournitures de bureau - chemises à élastiques;;Fournitures;MAPA - art 28;;;;;2013;2013-04-11;1345;;1345;;;;510246580;L'ENTREPRISE ADAPTEE;Titulaire;38630;38;Hors Bretagne;Non disponible;10 à 19;PME;8292;ACTIVITÉS DE SERVICES ADMINISTRATIFS ET DE SOUTIEN;Services;Tertiaire marchand;45.6308900094, 5.56433388526
2013-90452;;Région Bretagne;;;;OBJETS PROMOTIONNELS : ACQUISITION DE 5000 SACS PAPIER RECYCLE;;Fournitures;MAPA - art 28;;;;;2013;2013-04-11;1405;;1405;;;;869804550;JORDENEN SA;Titulaire;45380;45;Hors Bretagne;LA CHAPELLE SAINT MESMIN;50 à 99;PME;4649;"COMMERCE ; RÉPARATION D'AUTOMOBILES ET DE MOTOCYCLES";Industries;Industries;47.8904899207, 1.78907704146
2013-90505;;Région Bretagne;;;;Instruction et suivi technique des dossiers relatifs aux dispositifs régionaux de soutien à l'installation en agriculture;;Services;MAPA - art 28;;;;;2013;2013-12-16;0;;7628;;;;182200014;CHAMBRE AGRICULTURE DEPT COTES D ARMOR;Co-traitant;22195;22;Côtes d'Armor;PLERIN;Non disponible;Non disponible;9411;AUTRES ACTIVITÉS DE SERVICES;Services;Tertiaire marchand;
2014-90299;;Région Bretagne;;;;Programme Régional Supérieur 2014 - Lot 13 - RESPONSABLE CHAINE LOGISTIQUE;;Services;MAPA - art 30 - au dessus des seuils;;;;;2014;2014-01-01;0;;22503;;;;393420096;LE BOURSICAUD EVAIN CHRISTINE;Sous-traitant;56550;56;Morbihan;BELZ;3 à 5 salariés;Microentreprise;6920;ACTIVITÉS SPÉCIALISÉES, SCIENTIFIQUES ET TECHNIQUES;Etudes, conseil;Tertiaire marchand;47.6912476193, -3.11969109738
2014-90003;;Région Bretagne;;;;Aire de réparation navale avec élévateur - Etude technique et économique;;Services;MAPA - art 28;;;;;2014;2014-06-01;0;;101772;;;;534268677;ESPELIA;Sous-traitant;75009;75;Hors Bretagne;PARIS 09;Non disponible;Non disponible;7022;ACTIVITÉS SPÉCIALISÉES, SCIENTIFIQUES ET TECHNIQUES;Etudes, conseil;Tertiaire marchand;48.8769274899, 2.33736632955
2014-90040;;Région Bretagne;;;;les ecoterritoriales Forum du développement durable des collectivités 6 ème édition les 18 et 19 juin 2014 à St Brieuc;;Services;Achat direct;;;;;2014;2014-04-02;37661;;37661;;;;414583039;CHORUS SA;Titulaire;56000;56;Morbihan;VANNES;10 à 19;PME;8230;ACTIVITÉS DE SERVICES ADMINISTRATIFS ET DE SOUTIEN;Services;Tertiaire marchand;47.6598173381, -2.75698478615
2014-90053;;Région Bretagne;;;;Contrat d'Accès à la Qualification 2014 - Prestation d'accompagnement individuel;;Services;Marché negocié;;;;;2014;2014-06-02;0;;0;;;;382114668;AREP DE SAINT MALO;Titulaire;35400;35;Ille-et-Vilaine;ST MALO;50 à 99;PME;8559;ENSEIGNEMENT;Administration publique/enseignement;Tertiaire non marchand;48.6399039698, -1.9807980796
2014-90066;;Région Bretagne;;;;Contrat d'Accès à la Qualification 2014 - Prestation d'accompagnement individuel;;Services;Marché negocié;;;;;2014;2014-06-02;0;;0;;;;420826208;"AREP ""LA TOUCHE"" PLOERMEL";Titulaire;56800;56;Morbihan;PLOERMEL;10 à 19;PME;8559;ENSEIGNEMENT;Administration publique/enseignement;Tertiaire non marchand;47.9419730138, -2.35837892185
2014-90072;;Région Bretagne;;;;Contrat d'Accès à la Qualification 2014 - Prestation d'accompagnement individuel;;Services;Marché negocié;;;;;2014;2014-06-02;12960;;12960;;;;192900710;GRETA BRETAGNE OCCIDENTALE;Titulaire;29104;29;Finistère;PLUGUFFAN;100 à 199;PME;8559;ENSEIGNEMENT;Administration publique/enseignement;Tertiaire non marchand;
2014-90072;;Région Bretagne;;;;Contrat d'Accès à la Qualification 2014 - Prestation d'accompagnement individuel;;Services;Marché negocié;;;;;2014;2014-06-02;0;;12960;;;;300599123;AFPA DIRECTION REGIONALE BRETAGNE;Titulaire;35208;35;Ille-et-Vilaine;RENNES;10 000 et plus;Grande entreprise;8559;ENSEIGNEMENT;Administration publique/enseignement;Tertiaire non marchand;
2014-90127;;Région Bretagne;;;;Prestations de mise en forme, d’édition et de diffusion d’ouvrages « Cahier naturaliste, Plantes et Vertébrés invasifs de Bretagne »;;Services;MAPA - art 28;;;;;2014;2014-07-02;22967;;22967;;;;390613610;SARL BIOTOPE;Titulaire;34140;34;Hors Bretagne;MEZE;200 à 249;PME;7112;ACTIVITÉS SPÉCIALISÉES, SCIENTIFIQUES ET TECHNIQUES;Etudes, conseil;Tertiaire marchand;43.4368537431, 3.59942976108
2014-90037;;Région Bretagne;;;;Abattage et débardage à cheval de pins maritimes - Rigole d'Hilvern - Commune de Saint Gonnery (56);;Travaux;MAPA - art 28;;;;;2014;2014-12-02;29544;;29544;;;;400306353;LE LOUARN SERGE;Mandataire;22480;22;Côtes d'Armor;LANRIVAIN;0;Sans salarié;0240;AGRICULTURE, SYLVICULTURE ET PÊCHE;Agriculture, sylviculture et pêche;Agriculture, sylviculture et pêche;48.3587433062, -3.16333823836
2014-90090;;Région Bretagne;;;;Maintenance du logiciel de gestion documentaire Kentika;;Services;MAPA - art 28;;;;;2014;2014-02-24;6618;;6618;;;;503112427;KENTIKA SAS;Titulaire;69443;69;Hors Bretagne;Non disponible;6 à 9 salariés;Microentreprise;6209;INFORMATION ET COMMUNICATION;Information et communication;Tertiaire marchand;
2014-90096;;Région Bretagne;;;;Port de Lorient - Port de pêche de Kéroman - Quai du Pourquoi Pas - Aménagement d'un poste d'armement;;Travaux;MAPA - art 28;;;;;2014;2014-02-28;0;;2054686;;;;792730186;BILLON DECONSTRUCTION;Sous-traitant;44680;44;Hors Bretagne;STE PAZANNE;Non disponible;Non disponible;4311;CONSTRUCTION;Construction;Construction;47.1058819776, -1.85298461474
2013-90505;;Région Bretagne;;;;Instruction et suivi technique des dossiers relatifs aux dispositifs régionaux de soutien à l'installation en agriculture;;Services;MAPA - art 28;;;;;2013;2013-12-16;7628;;7628;;;;182900019;CHAMBRE AGRICULTURE DU FINISTERE;Mandataire;29322;29;Finistère;QUIMPER;100 à 199;PME;9411;AUTRES ACTIVITÉS DE SERVICES;Services;Tertiaire marchand;
2013-90553;;Région Bretagne;;;;Acquisition de trousses de secours et de consommables;;Fournitures;MAPA - art 28;;;;;2013;2013-12-17;34157;;34157;;;;519567762;MEDISAFE;Titulaire;77100;77;Hors Bretagne;MEAUX;3 à 5 salariés;Microentreprise;3250;INDUSTRIE MANUFACTURIÈRE;Industries;Industries;48.9417341013, 2.89233400365
2013-90533;;Région Bretagne;;;;IMPRESSION OFFSET DE SUPPORT DE COMMUNICATION ET FACONNAGE : BIP N°47;;Services;MAPA - art 28;;;;;2013;2013-12-18;3513;;3513;;;;343046769;VAL PRODUCTION GRAPHIQUE;Titulaire;44860;44;Hors Bretagne;ST AIGNAN DE GRAND LIEU;20 à 49;PME;1812;INDUSTRIE MANUFACTURIÈRE;Industries;Industries;47.1293725692, -1.59139240082
2014-90019;;Région Bretagne;;;;Logiciel Progos : gestion des fonds européens;;Services;Marché negocié;;;;;2014;2014-01-16;216586;;216586;;;;328161245;MGDIS SA;Titulaire;56038;56;Morbihan;VANNES;Non disponible;Non disponible;5829;INFORMATION ET COMMUNICATION;Information et communication;Tertiaire marchand;
2014-90035;;Région Bretagne;;;;Mission de contrôle technique dans le cadre des travaux de sécurité divers (traitement acoustique des salles du 2e étage) - Lycée René Cassin à Montfort Sur Meu. OP125010;;Services;MAPA - art 28;;;;;2014;2014-01-30;2962;;2962;;;;401449855;QUALICONSULT;Titulaire;35768;35;Ille-et-Vilaine;SAINT GREGOIRE;500 à 999;ETI;7120;ACTIVITÉS SPÉCIALISÉES, SCIENTIFIQUES ET TECHNIQUES;Etudes, conseil;Tertiaire marchand;
2014-90063;;Région Bretagne;;;;Contrat d'Accès à la Qualification 2014 - Prestation d'accompagnement individuel;;Services;Marché negocié;;;;;2014;2014-06-02;0;;0;;;;781626544;ASSOCIATION STEREDENN;Titulaire;22100;22;Côtes d'Armor;DINAN;50 à 99;PME;5590;HÉBERGEMENT ET RESTAURATION;Hébergement et restauration;Tertiaire marchand;48.4429392522, -2.05375025215
2014-90115;;Région Bretagne;;;;Port de Brest - Aménagement 1er et 2ème éperon : Réfection des terre-pleins;;Travaux;MAPA - art 28;;;;;2014;2014-03-17;0;;143426;;;;334884103;JARDIN SERVICE;Sous-traitant;29860;29;Finistère;PLABENNEC;50 à 99;PME;8130;ACTIVITÉS DE SERVICES ADMINISTRATIFS ET DE SOUTIEN;Services;Tertiaire marchand;48.5072852164, -4.44045299523
2014-90164;;Région Bretagne;;;;Approche exploratoire citoyenne de la politique régionale d'Egalité dans le cadre de la 4ème biennale de l'Egalité Femmes/Hommes;;Services;MAPA - art 28;;;;;2014;2014-03-25;13543;;13543;;;;491931101;CHEVREL ANNE  JOURNALISTE;Titulaire;35000;35;Ille-et-Vilaine;RENNES;Non disponible;Non disponible;9003;ARTS, SPECTACLES ET ACTIVITÉS RÉCRÉATIVES;Arts, spectacles et activités récréatives;Tertiaire non marchand;48.1116364246, -1.6816378334
2014-90198;;Région Bretagne;;;;Maîtrise d'oeuvre pour le remplacement des systèmes de contrôle d'accès, d'intrusion et de gestion technique centralisée;;Services;MAPA - art 28;;;;;2014;2014-05-16;21636;;21636;;;;333658904;ARMOR INGENIERIE;Titulaire;22360;22;Côtes d'Armor;LANGUEUX;20 à 49;PME;7112;ACTIVITÉS SPÉCIALISÉES, SCIENTIFIQUES ET TECHNIQUES;Etudes, conseil;Tertiaire marchand;48.5000567544, -2.71042685567
2014-90201;;Région Bretagne;;;;Location de bâtiments démontables au lycée Bertrand d'Argentré - VITRE;;Fournitures;Appel d'offres;;;;;2014;2014-05-22;80212;;80212;;;;985520055;DASSE SA LES CONSTRUCTIONS;Titulaire;40260;40;Hors Bretagne;CASTETS;50 à 99;PME;4120;CONSTRUCTION;Construction;Construction;43.9187422777, -1.13083737668
2014-90267;;Région Bretagne;;;;Programme Régional Supérieur 2014 : assistant de gestion PME-PMI;;Services;MAPA - art 30 - au dessus des seuils;;;;;2014;2014-08-07;71004;;71004;;;;403669187;ASS REG EDUC PERMANENTE PAYS DE RENNES;Mandataire;35706;35;Ille-et-Vilaine;Non disponible;Non disponible;Non disponible;8559;ENSEIGNEMENT;Administration publique/enseignement;Tertiaire non marchand;
2014-90268;;Région Bretagne;;;;Programme Régional Supérieur 2014 : Assistant manager tourisme hotellerie restauration;;Services;MAPA - art 30 - au dessus des seuils;;;;;2014;2014-08-07;0;;30987;;;;522684810;KILDE CONSEIL;Sous-traitant;53410;53;Hors Bretagne;Non disponible;Non disponible;Non disponible;7022;ACTIVITÉS SPÉCIALISÉES, SCIENTIFIQUES ET TECHNIQUES;Etudes, conseil;Tertiaire marchand;48.1336404167, -0.980854077022
2014-90269;;Région Bretagne;;;;Programme Régional Supérieur 2014 : capitaine de pêche;;Services;MAPA - art 30 - au dessus des seuils;;;;;2014;2014-08-07;89220;;89220;;;;182909028;CTRE EUROPEEN FORMAT CONTINUE MARITIME;Titulaire;29182;29;Finistère;CONCARNEAU;20 à 49;PME;8559;ENSEIGNEMENT;Administration publique/enseignement;Tertiaire non marchand;
2014-90381;;Région Bretagne;;;;"Prestations d'assistance technique et fonctionnel pour le logiciel ""Simplicité""";;Services;MAPA - art 28;;;;;2014;2014-11-09;15366;;15366;;;;490393519;SIMPLICITE SOFTWARE;Titulaire;94500;94;Hors Bretagne;CHAMPIGNY SUR MARNE;3 à 5 salariés;Microentreprise;5829;INFORMATION ET COMMUNICATION;Information et communication;Tertiaire marchand;48.8176869619, 2.51584557843
2014-90400;;Région Bretagne;;;;Elaboration d'un plan d'entretien sans produits phytosanitaires;;Services;MAPA - art 28;;;;;2014;2014-09-23;0;;0;;;;453890147;PROXALYS ENVIRONNEMENT;Titulaire;35235;35;Ille-et-Vilaine;THORIGNE FOUILLARD;Non disponible;Non disponible;7112;ACTIVITÉS SPÉCIALISÉES, SCIENTIFIQUES ET TECHNIQUES;Etudes, conseil;Tertiaire marchand;48.1563529935, -1.58358444348
2014-90408;;Région Bretagne;;;;Travaux de mise en accessibilité et de vitrerie du point Région de Saint Brieuc;;Travaux;MAPA - art 28;;;;;2014;2014-06-10;24956;;24956;;;;429180482;ALU VERRE CONCEPT;Titulaire;22170;22;Côtes d'Armor;PLERNEUF;3 à 5 salariés;Microentreprise;4332;CONSTRUCTION;Construction;Construction;48.5200598595, -2.97473935214
2014-90447;;Région Bretagne;;;;Vérification des équipements de protection individuelle des agents;;Services;Appel d'offres;;;;;2014;2014-12-11;10595;;10595;;;;636420333;FRANCE SECURITE;Titulaire;29604;29;Finistère;Non disponible;250 à 499;ETI;4642;"COMMERCE ; RÉPARATION D'AUTOMOBILES ET DE MOTOCYCLES";Industries;Industries;
2014-90467;;Région Bretagne;;;;DAAT;;Services;Appel d'offres;;;;;2014;2014-11-27;0;;0;;;;490676293;QUALICONSULT IMMOBILIER SAS;Titulaire;75005;75;Hors Bretagne;PARIS;Non disponible;Non disponible;7120;ACTIVITÉS SPÉCIALISÉES, SCIENTIFIQUES ET TECHNIQUES;Etudes, conseil;Tertiaire marchand;48.844407753, 2.350655453
2013-90156;;Région Bretagne;;;;Dispositif de formations : Compétences clés 2013 - Lot 13;;Services;MAPA - art 30 - au dessus des seuils;;;;;2013;2013-01-01;0;;160733;;;;777459173;ADALEA;Titulaire;22000;22;Côtes d'Armor;Non disponible;100 à 199;PME;8790;SANTÉ HUMAINE ET ACTION SOCIALE;Santé humaine et action sociale;Tertiaire non marchand;48.5146037386, -2.76180979127
2013-90226;;Région Bretagne;;;;PRS 2013-2014-lot n° 5-Horloger-ère Rhabilleur-euse haut de gamme (deuxième année);;Services;Appel d'offres;;;;;2013;2013-01-01;284214;;284214;;;;130013147;CHAMBRE DE COMMERCE ET D INDUSTRIE DE SAINT MALO FOUGERES;Titulaire;35417;35;Ille-et-Vilaine;ST MALO;50 à 99;PME;9411;AUTRES ACTIVITÉS DE SERVICES;Services;Tertiaire marchand;
2013-90151;;Région Bretagne;;;;Dispositif de formations : Compétences clés 2013 - Lot 8;;Services;MAPA - art 30 - au dessus des seuils;;;;;2013;2013-01-01;0;;110050;;;;321591646;CLPS L ENJEU COMPETENCES;Sous-traitant;35651;35;Ille-et-Vilaine;LE RHEU;250 à 499;ETI;8559;ENSEIGNEMENT;Administration publique/enseignement;Tertiaire non marchand;
2013-90211;;Région Bretagne;;;;Restauration collective des agents, élus, invités de la Région Bretagne sur les sites de Patton et de Courcy;;Services;MAPA - art 30 - au dessus des seuils;;;;;2013;2013-05-23;737832;;737832;;;;498083427;VERSO;Titulaire;35769;35;Ille-et-Vilaine;ST GREGOIRE;Non disponible;Non disponible;5629;HÉBERGEMENT ET RESTAURATION;Hébergement et restauration;Tertiaire marchand;
2013-90336;;Région Bretagne;;;;Accueil du 40eme anniversaire de la CRPM - marché d'interprétariat;;Services;Appel d'offres;;;;;2013;2013-07-22;39513;;39513;;;;327725750;CG TRADUCTION INTERPRETATION;Titulaire;78000;78;Hors Bretagne;VERSAILLES;6 à 9 salariés;Microentreprise;7430;ACTIVITÉS SPÉCIALISÉES, SCIENTIFIQUES ET TECHNIQUES;Etudes, conseil;Tertiaire marchand;48.8023412582, 2.11714488156
2013-90329;;Région Bretagne;;;;IMPRESSION LOT 1 : FLYERS, AFFICHES ET SETS DE TABLE JEUNES A L'INTERNATIONAL;;Services;MAPA - art 28;;;;;2013;2013-08-13;3689;;3689;;;;320281447;MEDIA GRAPHIC IMPRIMERIE;Titulaire;35000;35;Ille-et-Vilaine;RENNES;Non disponible;Non disponible;1812;INDUSTRIE MANUFACTURIÈRE;Industries;Industries;48.1116364246, -1.6816378334
2013-90372;;Région Bretagne;;;;TRAVAUX D'AMENAGEMENT DIVERS I2 I4 (SPS);;Services;MAPA - art 28;;;;;2013;2013-09-27;624;;624;;;;531793545;BUREAU COBATI SARL LE CUNFF;Titulaire;35230;35;Ille-et-Vilaine;NOYAL CHATILLON SUR SEICHE;Non disponible;Non disponible;7490;ACTIVITÉS SPÉCIALISÉES, SCIENTIFIQUES ET TECHNIQUES;Etudes, conseil;Tertiaire marchand;48.0164430154, -1.6442206032
2013-90415;;Région Bretagne;;;;Adaptation des locaux d'externat en vue de l'accueil d'effectifs complémentaires;;Services;MAPA - art 28;;;;;2013;2013-10-14;0;;30467;;;;440016632;EQUATION E2 C;Sous-traitant;44319;44;Hors Bretagne;NANTES;1 ou 2;Microentreprise;7490;ACTIVITÉS SPÉCIALISÉES, SCIENTIFIQUES ET TECHNIQUES;Etudes, conseil;Tertiaire marchand;
2013-90393;;Région Bretagne;;;;Prestations de conseil, assistance juridique et représentation en justice - droit public;;Services;MAPA - art 30 - en dessous des seuils;;;;;2013;2013-10-29;0;;35635;;;;777743782;CABINET ARES;Titulaire;35043;35;Ille-et-Vilaine;RENNES CEDEX;20 à 49;PME;6910;ACTIVITÉS SPÉCIALISÉES, SCIENTIFIQUES ET TECHNIQUES;Etudes, conseil;Tertiaire marchand;
2013-90464;;Région Bretagne;;;;OBJETS PROMOTIONNELS : 90 SERVIETTES DE SPORT;;Fournitures;MAPA - art 28;;;;;2013;2013-12-11;911;;911;;;;347934127;KOKOLO;Titulaire;64210;64;Hors Bretagne;BIDART;50 à 99;PME;1330;INDUSTRIE MANUFACTURIÈRE;Industries;Industries;43.4226559085, -1.56911488604
2013-90467;;Région Bretagne;;;;Maintenance des extincteurs équipant les bâtiments de la Région Bretagne (Hors Lycées);;Services;MAPA - art 28;;;;;2013;2013-11-18;7544;;7544;;;;702000522;CHUBB FRANCE;Titulaire;35510;35;Ille-et-Vilaine;CESSON SEVIGNE;Non disponible;Non disponible;2790;INDUSTRIE MANUFACTURIÈRE;Industries;Industries;48.1206278296, -1.59690492956
2013-90470;;Région Bretagne;;;;Opération n°125031 - Construction IFSI Fougères (marché de mandat);;Services;Contrat de mandat;;;;;2013;2013-11-22;66906;;66906;;;;599200136;SEMAEB;Titulaire;35018;35;Ille-et-Vilaine;Non disponible;Non disponible;Non disponible;4110;CONSTRUCTION;Construction;Construction;
2013-90528;;Région Bretagne;;;;Opération n°10009876 - Maintenance des ascenseurs dans les lycées de l'Ille et Vilaine;;Services;Appel d'offres;;;;;2013;2013-12-20;85961;;85961;;;;381934884;ABH;Titulaire;35740;35;Ille-et-Vilaine;PACE;50 à 99;PME;4329;CONSTRUCTION;Construction;Construction;48.1528245911, -1.77695493088
2013-90552;;Région Bretagne;;;;Mission d'assistance méthodologique et technique à la mise en oeuvre d'un programme de développement d'une filière maraîchère bio dans la Région Centre au Burkina Faso;;Services;MAPA - art 28;;;;;2013;2013-12-27;0;;97175;;;;538743535;BREIZH KENGRED BURKINA;Co-traitant;56220;56;Morbihan;ROCHEFORT EN TERRE;Non disponible;Non disponible;9499;AUTRES ACTIVITÉS DE SERVICES;Services;Tertiaire marchand;47.6818573935, -2.29947827563
2014-90299;;Région Bretagne;;;;Programme Régional Supérieur 2014 - Lot 13 - RESPONSABLE CHAINE LOGISTIQUE;;Services;MAPA - art 30 - au dessus des seuils;;;;;2014;2014-01-01;0;;22503;;;;505183723;PRAXIS DEVELOPPEMENT;Sous-traitant;35500;35;Ille-et-Vilaine;VITRE;3 à 5 salariés;Microentreprise;7022;ACTIVITÉS SPÉCIALISÉES, SCIENTIFIQUES ET TECHNIQUES;Etudes, conseil;Tertiaire marchand;48.1379500219, -1.18967633212
